timestamp,simple-path,time
"2022-06-02 21:18:51.381","/master/welcome",2917
"2022-06-02 21:18:51.66","/master/welcome",234
"2022-06-02 21:18:52.855","/master/sign-in",1112
"2022-06-02 21:18:54.173","/master/welcome",665
"2022-06-02 21:18:55.409","/inventor/item/list-my-components",1080
"2022-06-02 21:18:56.769","/inventor/item/show",1094
"2022-06-02 21:18:57.388","/inventor/chimpum/create",556
"2022-06-02 21:18:58.874","/inventor/item/show",568
"2022-06-02 21:19:00.082","/inventor/chimpum/list",1085
"2022-06-02 21:19:01.594","/inventor/chimpum/show",563
"2022-06-02 21:19:02.744","/inventor/chimpum/list",553
"2022-06-02 21:19:05.443","/inventor/item/list-my-components",556
"2022-06-02 21:19:06.263","/inventor/item/show",550
"2022-06-02 21:19:06.544","/master/welcome",234
"2022-06-02 21:19:07.17","/master/welcome",558
"2022-06-02 21:19:09.46","/master/welcome",201
"2022-06-02 21:19:11.874","/inventor/chimpum/create",357
"2022-06-02 21:19:12.138","/master/welcome",217
"2022-06-02 21:19:12.763","/master/sign-in",564
"2022-06-02 21:19:14.238","/master/welcome",560
"2022-06-02 21:19:14.551","/inventor/chimpum/create",251
"2022-06-02 21:19:14.847","/master/welcome",250
"2022-06-02 21:19:15.464","/master/welcome",555
"2022-06-02 21:19:17.762","/master/welcome",222
"2022-06-02 21:19:18.386","/master/sign-in",560
"2022-06-02 21:19:19.839","/master/welcome",552
"2022-06-02 21:19:20.136","/inventor/chimpum/create",236
"2022-06-02 21:19:20.415","/master/welcome",234
"2022-06-02 21:19:21.036","/master/welcome",563
"2022-06-02 21:19:23.32","/master/welcome",201
"2022-06-02 21:19:25.587","/inventor/chimpum/delete",216
"2022-06-02 21:19:25.841","/master/welcome",208
"2022-06-02 21:19:26.456","/master/sign-in",552
"2022-06-02 21:19:27.946","/master/welcome",563
"2022-06-02 21:19:28.273","/inventor/chimpum/delete",265
"2022-06-02 21:19:28.556","/master/welcome",234
"2022-06-02 21:19:29.17","/master/welcome",560
"2022-06-02 21:19:31.447","/master/welcome",203
"2022-06-02 21:19:32.061","/master/sign-in",552
"2022-06-02 21:19:33.532","/master/welcome",559
"2022-06-02 21:19:33.816","/inventor/chimpum/delete",222
"2022-06-02 21:19:34.083","/master/welcome",220
"2022-06-02 21:19:34.708","/master/welcome",562
"2022-06-02 21:19:37.004","/master/welcome",206
"2022-06-02 21:19:37.239","/master/welcome",205
"2022-06-02 21:19:37.856","/master/sign-in",556
"2022-06-02 21:19:39.332","/master/welcome",550
"2022-06-02 21:19:40.043","/inventor/item/list-my-components",554
"2022-06-02 21:19:40.864","/inventor/item/show",554
"2022-06-02 21:19:41.49","/inventor/chimpum/create",562
"2022-06-02 21:19:42.969","/inventor/chimpum/create",552
"2022-06-02 21:19:43.253","/master/welcome",236
"2022-06-02 21:19:43.866","/master/welcome",550
"2022-06-02 21:19:46.167","/master/welcome",205
"2022-06-02 21:19:46.406","/master/welcome",206
"2022-06-02 21:19:47.02","/master/sign-in",553
"2022-06-02 21:19:48.499","/master/welcome",553
"2022-06-02 21:19:49.21","/inventor/item/list-my-components",554
"2022-06-02 21:19:50.04","/inventor/item/show",565
"2022-06-02 21:19:50.667","/inventor/chimpum/create",565
"2022-06-02 21:19:52.132","/inventor/chimpum/create",550
"2022-06-02 21:19:52.402","/master/welcome",223
"2022-06-02 21:19:53.014","/master/welcome",550
"2022-06-02 21:19:55.298","/master/welcome",203
"2022-06-02 21:19:55.534","/master/welcome",203
"2022-06-02 21:19:56.149","/master/sign-in",553
"2022-06-02 21:19:57.627","/master/welcome",555
"2022-06-02 21:19:58.345","/inventor/item/list-my-components",562
"2022-06-02 21:19:59.17","/inventor/item/show",555
"2022-06-02 21:19:59.788","/inventor/chimpum/create",556
"2022-06-02 21:20:01.261","/inventor/chimpum/create",549
"2022-06-02 21:20:01.528","/master/welcome",221
"2022-06-02 21:20:02.141","/master/welcome",550
"2022-06-02 21:20:04.427","/master/welcome",204
"2022-06-02 21:20:04.662","/master/welcome",205
"2022-06-02 21:20:05.289","/master/sign-in",566
"2022-06-02 21:20:06.757","/master/welcome",566
"2022-06-02 21:20:07.471","/inventor/item/list-my-components",554
"2022-06-02 21:20:08.292","/inventor/item/show",553
"2022-06-02 21:20:08.905","/inventor/chimpum/create",550
"2022-06-02 21:20:10.377","/inventor/chimpum/create",551
"2022-06-02 21:20:10.648","/master/welcome",227
"2022-06-02 21:20:11.295","/master/welcome",587
"2022-06-02 21:20:13.603","/master/welcome",222
"2022-06-02 21:20:13.852","/master/welcome",216
"2022-06-02 21:20:14.465","/master/sign-in",551
"2022-06-02 21:20:15.945","/master/welcome",564
"2022-06-02 21:20:16.659","/inventor/item/list-my-components",557
"2022-06-02 21:20:17.48","/inventor/item/show",557
"2022-06-02 21:20:18.096","/inventor/chimpum/create",552
"2022-06-02 21:20:19.599","/inventor/chimpum/create",554
"2022-06-02 21:20:19.868","/master/welcome",222
"2022-06-02 21:20:20.494","/master/welcome",563
"2022-06-02 21:20:22.786","/master/welcome",203
"2022-06-02 21:20:23.023","/master/welcome",206
"2022-06-02 21:20:23.64","/master/sign-in",553
"2022-06-02 21:20:25.118","/master/welcome",562
"2022-06-02 21:20:25.836","/inventor/item/list-my-components",562
"2022-06-02 21:20:26.658","/inventor/item/show",548
"2022-06-02 21:20:27.283","/inventor/chimpum/create",565
"2022-06-02 21:20:28.81","/inventor/chimpum/create",564
"2022-06-02 21:20:29.088","/master/welcome",233
"2022-06-02 21:20:29.71","/master/welcome",562
"2022-06-02 21:20:32.002","/master/welcome",199
"2022-06-02 21:20:32.254","/master/welcome",220
"2022-06-02 21:20:32.877","/master/sign-in",561
"2022-06-02 21:20:34.34","/master/welcome",550
"2022-06-02 21:20:35.051","/inventor/item/list-my-components",556
"2022-06-02 21:20:35.885","/inventor/item/show",564
"2022-06-02 21:20:36.506","/inventor/chimpum/create",557
